Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-04-07 00:00:00-04:00,1.7547140958851999,1.7644625075290066,1.7400917759174037,1.759588599205017,39417600,0.0,0.0
1993-04-08 00:00:00-04:00,1.754713554060861,1.7595880558755188,1.720594421340833,1.735216736793518,40185600,0.0,0.0
1993-04-12 00:00:00-04:00,1.7303432051348837,1.7790852588711372,1.7254687022633717,1.7571508884429932,48976000,0.0,0.0
1993-04-13 00:00:00-04:00,1.7595881341810558,1.7985817704510438,1.7303429069785645,1.732779860496521,53337600,0.0,0.0
1993-04-14 00:00:00-04:00,1.735216736793518,1.7595880558755188,1.7108460127071616,1.735216736793518,38592000,0.0,0.0
1993-04-15 00:00:00-04:00,1.7157201203329664,1.7522768057367166,1.67672648123449,1.6986602544784546,109152000,0.0,0.0
1993-04-16 00:00:00-04:00,1.7010980003409106,1.7108464112454551,1.6669782646771134,1.696223497390747,49600000,0.0,0.0
1993-04-19 00:00:00-04:00,1.696223497390747,1.7010980003409106,1.657229853772569,1.696223497390747,45673600,0.0,0.0
1993-04-20 00:00:00-04:00,1.6913495063781738,1.7059718245190316,1.6572297723899163,1.6913495063781738,46009600,0.0,0.0
1993-04-21 00:00:00-04:00,1.6913486198642407,1.6913486198642407,1.642606593283073,1.6547919511795044,92528000,0.0,0.0
1993-04-22 00:00:00-04:00,1.6474812598162567,1.6572296696376545,1.6157990766456423,1.6231105327606201,79872000,0.0,0.0
1993-04-23 00:00:00-04:00,1.6182357513159826,1.6231102528840184,1.57436821218173,1.5865535736083984,89296000,0.0,0.0
1993-04-26 00:00:00-04:00,1.588990424031029,1.6084872390498146,1.554871295245942,1.567056655883789,65376000,0.0,0.0
1993-04-27 00:00:00-04:00,1.5694940834334403,1.6133622279838054,1.5646201757032638,1.6084877252578735,58208000,0.0,0.0
1993-04-28 00:00:00-04:00,1.618235657381457,1.6767261028289795,1.6133617510919531,1.6767261028289795,55372800,0.0,0.0
1993-04-29 00:00:00-04:00,1.671852145101785,1.671852145101785,1.637732422142698,1.6669776439666748,49660800,0.0,0.0
1993-04-30 00:00:00-04:00,1.657229236692016,1.6913489596511029,1.657229236692016,1.6669776439666748,46825600,0.0,0.0
1993-05-03 00:00:00-04:00,1.6669783290295719,1.696223562872196,1.6572299177486973,1.6791636943817139,38096000,0.0,0.0
1993-05-04 00:00:00-04:00,1.6913490964094846,1.7254682271318003,1.6864745948802342,1.7157198190689087,49664000,0.0,0.0
1993-05-05 00:00:00-04:00,1.7157198860369538,1.754713519810521,1.7059714775935622,1.7400912046432495,51868800,0.0,0.0
1993-05-06 00:00:00-04:00,1.7352172268047648,1.7498401413824862,1.6913496730632245,1.701098084449768,47244800,0.0,0.0
1993-05-07 00:00:00-04:00,1.7010980003409106,1.7108464112454551,1.6864750864862026,1.696223497390747,31798400,0.0,0.0
1993-05-10 00:00:00-04:00,1.7254690802014006,1.7547143188488818,1.7157206673189067,1.737654447555542,69091200,0.0,0.0
1993-05-11 00:00:00-04:00,1.7205945953034996,1.730343004922795,1.7010977760649086,1.710846185684204,38220800,0.0,0.0
1993-05-12 00:00:00-04:00,1.7059716544436416,1.7157200638976053,1.671852518852616,1.6816009283065796,48272000,0.0,0.0
1993-05-13 00:00:00-04:00,1.6718525886535645,1.676726496086188,1.6474812665032894,1.6718525886535645,43708800,0.0,0.0
